danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.672,0.836,4,-3.351,1,0.0421,0.0747,0.0,0.297,0.842,110.045,audio_features,58NQYnzPPC6UNdITirM5bb,spotify:track:58NQYnzPPC6UNdITirM5bb,https://api.spotify.com/v1/tracks/58NQYnzPPC6UNdITirM5bb,https://api.spotify.com/v1/audio-analysis/58NQYnzPPC6UNdITirM5bb,221000,4,APRICITY,SALUTE: A NEW HOPE,2021-01-18,0l35zvCONHylF3INQkVCL6,AB6IX
0.73,0.901,7,-3.503,1,0.0634,0.17,0.0,0.107,0.601,100.003,audio_features,3B1nflnhZHmUpbIovL66Pk,spotify:track:3B1nflnhZHmUpbIovL66Pk,https://api.spotify.com/v1/tracks/3B1nflnhZHmUpbIovL66Pk,https://api.spotify.com/v1/audio-analysis/3B1nflnhZHmUpbIovL66Pk,208930,4,STAY YOUNG,SALUTE: A NEW HOPE,2021-01-18,0l35zvCONHylF3INQkVCL6,AB6IX
0.591,0.684,2,-4.757,1,0.0315,0.338,0.0,0.213,0.456,118.052,audio_features,7zRuShJWeYLZD25qCR50pp,spotify:track:7zRuShJWeYLZD25qCR50pp,https://api.spotify.com/v1/tracks/7zRuShJWeYLZD25qCR50pp,https://api.spotify.com/v1/audio-analysis/7zRuShJWeYLZD25qCR50pp,225375,4,ENCORE (feat. ABNEW),SALUTE: A NEW HOPE,2021-01-18,0l35zvCONHylF3INQkVCL6,AB6IX
0.633,0.884,8,-3.793,0,0.0647,0.0559,0.0,0.249,0.684,109.975,audio_features,1uThwF3Gi9N9ZR8DVIjS2Q,spotify:track:1uThwF3Gi9N9ZR8DVIjS2Q,https://api.spotify.com/v1/tracks/1uThwF3Gi9N9ZR8DVIjS2Q,https://api.spotify.com/v1/audio-analysis/1uThwF3Gi9N9ZR8DVIjS2Q,205896,4,MIRROR,SALUTE: A NEW HOPE,2021-01-18,0l35zvCONHylF3INQkVCL6,AB6IX
0.686,0.95,5,-4.588,0,0.147,0.075,0.0,0.65,0.355,119.936,audio_features,1S16NbaZItWP83Skxf0tZP,spotify:track:1S16NbaZItWP83Skxf0tZP,https://api.spotify.com/v1/tracks/1S16NbaZItWP83Skxf0tZP,https://api.spotify.com/v1/audio-analysis/1S16NbaZItWP83Skxf0tZP,188656,4,SALUTE,SALUTE: A NEW HOPE,2021-01-18,0l35zvCONHylF3INQkVCL6,AB6IX
0.589,0.679,1,-4.211,0,0.0376,0.226,0.0,0.325,0.42,77.999,audio_features,1wBCZKRXLl3Ody9PwbeE7j,spotify:track:1wBCZKRXLl3Ody9PwbeE7j,https://api.spotify.com/v1/tracks/1wBCZKRXLl3Ody9PwbeE7j,https://api.spotify.com/v1/audio-analysis/1wBCZKRXLl3Ody9PwbeE7j,211360,4,HEAVEN,SALUTE: A NEW HOPE,2021-01-18,0l35zvCONHylF3INQkVCL6,AB6IX
0.773,0.735,5,-3.968,0,0.0862,0.108,0.0,0.161,0.705,100.001,audio_features,35TArxNhMONAZYlrrsz63r,spotify:track:35TArxNhMONAZYlrrsz63r,https://api.spotify.com/v1/tracks/35TArxNhMONAZYlrrsz63r,https://api.spotify.com/v1/audio-analysis/35TArxNhMONAZYlrrsz63r,215584,4,MAYBE,SALUTE: A NEW HOPE,2021-01-18,0l35zvCONHylF3INQkVCL6,AB6IX
0.78,0.849,6,-3.794,0,0.184,0.0894,0.0,0.103,0.828,123.055,audio_features,4oVkV9xL6sHIhaBemd9Qkp,spotify:track:4oVkV9xL6sHIhaBemd9Qkp,https://api.spotify.com/v1/tracks/4oVkV9xL6sHIhaBemd9Qkp,https://api.spotify.com/v1/audio-analysis/4oVkV9xL6sHIhaBemd9Qkp,211381,1,BLOOM,SALUTE: A NEW HOPE,2021-01-18,0l35zvCONHylF3INQkVCL6,AB6IX
0.499,0.561,10,-5.063,1,0.0426,0.498,0.0,0.205,0.277,158.024,audio_features,3KslL1oHw2JreJF9RBzuVt,spotify:track:3KslL1oHw2JreJF9RBzuVt,https://api.spotify.com/v1/tracks/3KslL1oHw2JreJF9RBzuVt,https://api.spotify.com/v1/audio-analysis/3KslL1oHw2JreJF9RBzuVt,269616,3,BEHIND YOU,SALUTE: A NEW HOPE,2021-01-18,0l35zvCONHylF3INQkVCL6,AB6IX
0.445,0.861,10,-4.045,0,0.0876,0.0644,0.0,0.0986,0.549,153.0,audio_features,7MzEUfY3N6Uw8umnwMkaq0,spotify:track:7MzEUfY3N6Uw8umnwMkaq0,https://api.spotify.com/v1/tracks/7MzEUfY3N6Uw8umnwMkaq0,https://api.spotify.com/v1/audio-analysis/7MzEUfY3N6Uw8umnwMkaq0,217494,4,SURREAL - Alternative Rock Mix,SALUTE: A NEW HOPE,2021-01-18,0l35zvCONHylF3INQkVCL6,AB6IX
